TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG ,,Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protection des lieux sacrés, des ressources et du milieu de vie","Protection of sacred locations, resources and environment","Alpha Logging & Processing shall identify in the annual operational plan areas requiring special measures for the protection of plants, animals, and cultural resources. Special protection measures needed to protect these areas shall be described in the annual operational plan. In addition to taking special protection measures, Alpha Logging & Processing shall protect these areas from damage or removal during Alpha Logging & Processing's operations. If additional areas, resources, or species are identified before and during duration of the contract, either party shall promptly give written notice to the other party, and Alpha Logging & Processing shall cease operations in the affected area, under Section ILLEGIBLE, if the contracting officer determines there is risk of damage to such areas, resources or species from continued operations. Alpha Logging & Processing shall not operate wheeled or track-laying equipment in any area identified as requiring special protection measures, except on roads, landings, tractor roads, or skid trails approved Section B6.4. Nor shall Alpha Logging & Processing fell trees in any area identified as requiring special protection measures. Alpha Logging & Processing shall immediately notify Forestry Development Authority of a disturbance in any area identified as requiring special protection measures and shall immediately halt operations in the vicinity of the disturbance until Forestry Development Authority authorizes Alpha Logging & Processing, in writing, to proceed. Alpha Logging & Processing shall bear costs of resource evaluation and restoration to identified sites. Such payment does not relieve Alpha Logging & Processing of any civil or criminal liability otherwise provided by law. ",Art. B6.34,67 (middle),,"Protection des lieux sacrés, des ressources et du milieu de vie//Protection of sacred locations, resources and environment","Alpha Logging & Processing shall identify in the annual operational plan areas requiring special measures for the protection of plants, animals, and cultural resources. Special protection measures needed to protect these areas shall be described in the annual operational plan. In addition to taking special protection measures, Alpha Logging & Processing shall protect these areas from damage or removal during Alpha Logging & Processing's operations. If additional areas, resources, or species are identified before and during duration of the contract, either party shall promptly give written notice to the other party, and Alpha Logging & Processing shall cease operations in the affected area, under Section ILLEGIBLE, if the contracting officer determines there is risk of damage to such areas, resources or species from continued operations. Alpha Logging & Processing shall not operate wheeled or track-laying equipment in any area identified as requiring special protection measures, except on roads, landings, tractor roads, or skid trails approved Section B6.4. Nor shall Alpha Logging & Processing fell trees in any area identified as requiring special protection measures. Alpha Logging & Processing shall immediately notify Forestry Development Authority of a disturbance in any area identified as requiring special protection measures and shall immediately halt operations in the vicinity of the disturbance until Forestry Development Authority authorizes Alpha Logging & Processing, in writing, to proceed. Alpha Logging & Processing shall bear costs of resource evaluation and restoration to identified sites. Such payment does not relieve Alpha Logging & Processing of any civil or criminal liability otherwise provided by law. --Art. B6.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consultations communautaires requises,Requirements for community consultation ,"Before requesting permission from the Forestry Development Authority to use public lands outside of the contract area, Alpha Logging & Processing shall consult with all potentially affected communities that are party to social agreements with Alpha Logging & Processing. Alpha Logging & Processing shall make a written record of the time, place, and general content of these consultations.",B4.12,39 (middle),,Consultations communautaires requises//Requirements for community consultation ,"Before requesting permission from the Forestry Development Authority to use public lands outside of the contract area, Alpha Logging & Processing shall consult with all potentially affected communities that are party to social agreements with Alpha Logging & Processing. Alpha Logging & Processing shall make a written record of the time, place, and general content of these consultations.--B4.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations liées a la formation des cadres locaux,Management training requirement for nationals,,,,,Obligations liées a la formation des cadres locaux//Management training requirement for nationals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations liées à l'emploi du personnel local,Local employment requirements,"In the selection of employees to conduct its operations under the contract, Alpha Logging & Processing shall give preference to competent and qualified individuals living in and near the contract area, and particularly to individuals from communities benefiting from Alpha Logging & Processing's social agreements. Alpha Logging & Processing shall not import unskilled labor from outside Liberia. Alpha Logging & Processing shall comply with all training and employment obligations required by law or regulation.",Art. B3.23,35 (bottom),,Obligations liées à l'emploi du personnel local//Local employment requirements,"In the selection of employees to conduct its operations under the contract, Alpha Logging & Processing shall give preference to competent and qualified individuals living in and near the contract area, and particularly to individuals from communities benefiting from Alpha Logging & Processing's social agreements. Alpha Logging & Processing shall not import unskilled labor from outside Liberia. Alpha Logging & Processing shall comply with all training and employment obligations required by law or regulation.--Art. B3.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations liées a l'approvisionnement en biens et services locaux,Local procurement requirements,,,,,Obligations liées a l'approvisionnement en biens et services locaux//Local procurement requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assurance,Insurance,,,,,Assurance//Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Réinstallation des habitants,Resettlement,,,,,Réinstallation des habitants//Resettlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Programme de sous-traitance  avec les petits planteurs (détails, des terres supplémentaires fournis, etc)","Outgrowers Program (details, additional land provided, etc)",LAND SPECIFIC,,,,"Programme de sous-traitance  avec les petits planteurs (détails, des terres supplémentaires fournis, etc)//Outgrowers Program (details, additional land provided, etc)",LAND SPECIFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obligations concernant les travailleurs ou les habitants dans ou près des concessions en ce qui concerne la santé et la sécurité au travail, l'accès à l'eau potable, le logement, les soins médicaux ou l'éducation","Requirements regarding workers or farm/concession dwellers within concession areas or in nearby communities in respect of occupational health and safety, access to clean water, housing, medical care, or education","Alpha Logging & Processing shall employ internationally recognized, modern measures for the protection of general health and safety of its employees and all other persons with legal access to the contract area. Alpha Logging & Processing shall comply with public health instructions given in writing by the Government.",Art. B3.22,35 (bottom),,"Obligations concernant les travailleurs ou les habitants dans ou près des concessions en ce qui concerne la santé et la sécurité au travail, l'accès à l'eau potable, le logement, les soins médicaux ou l'éducation//Requirements regarding workers or farm/concession dwellers within concession areas or in nearby communities in respect of occupational health and safety, access to clean water, housing, medical care, or education","Alpha Logging & Processing shall employ internationally recognized, modern measures for the protection of general health and safety of its employees and all other persons with legal access to the contract area. Alpha Logging & Processing shall comply with public health instructions given in writing by the Government.--Art. B3.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La sécurité physique, la protection de la propriété, et / ou l'utilisation des gardes","Physical security, protection of property, and/or use of guards","In no case shall Alpha Logging & Processing use private security guards armed with firearms, machetes or other life-threatening weapons. Alpha Logging & Processing shall not use or threaten force on persons or property except In self defense or defense of another. Alpha Logging & Processing shall report to Forestry Development Authority all incidents where Alpha Logging & Processing or its agents used or threatened force or had force used or threatened against them. Alpha shall make the reports within 24 hours of the incident. The Government and Alpha Logging & Processing shall make reasonable, good-faith efforts to cooperate with each other in protecting life and property and keeping the peace. Alpha Logging & Processing shall use all reasonable means to prevent encroachment by unauthorized persons into the contract area. Alpha Logging & Processing shall take reasonable measures to prevent damage to the rights and property of the Government and third parties. Alpha Logging & Processing shall cooperate with the owners of any underground or overhead utility lines in their removal and/or rearrangement in order that these operations may progress in a reasonable manner, utility duplication or rearrangement work may be reduced to a minimum, and services shall not be unnecessarily interrupted. In the event of interruption to utility services because of accidental breakage or as a result of lines being exposed or unsupported, Alpha Logging & Processing shall promptly notify the owner and shall cooperate with that owner in the restoration of service until the service is restored. Alpha Logging & Processing shall not conduct blasting or other dangerous operations within 750 meters of any public works, permanent building, village or inhabited structure without written consent of Forestry Development Authority and subject to such conditions as Forestry Development Authority may impose.",Art. B6.31,65 (middle),,"La sécurité physique, la protection de la propriété, et / ou l'utilisation des gardes//Physical security, protection of property, and/or use of guards","In no case shall Alpha Logging & Processing use private security guards armed with firearms, machetes or other life-threatening weapons. Alpha Logging & Processing shall not use or threaten force on persons or property except In self defense or defense of another. Alpha Logging & Processing shall report to Forestry Development Authority all incidents where Alpha Logging & Processing or its agents used or threatened force or had force used or threatened against them. Alpha shall make the reports within 24 hours of the incident. The Government and Alpha Logging & Processing shall make reasonable, good-faith efforts to cooperate with each other in protecting life and property and keeping the peace. Alpha Logging & Processing shall use all reasonable means to prevent encroachment by unauthorized persons into the contract area. Alpha Logging & Processing shall take reasonable measures to prevent damage to the rights and property of the Government and third parties. Alpha Logging & Processing shall cooperate with the owners of any underground or overhead utility lines in their removal and/or rearrangement in order that these operations may progress in a reasonable manner, utility duplication or rearrangement work may be reduced to a minimum, and services shall not be unnecessarily interrupted. In the event of interruption to utility services because of accidental breakage or as a result of lines being exposed or unsupported, Alpha Logging & Processing shall promptly notify the owner and shall cooperate with that owner in the restoration of service until the service is restored. Alpha Logging & Processing shall not conduct blasting or other dangerous operations within 750 meters of any public works, permanent building, village or inhabited structure without written consent of Forestry Development Authority and subject to such conditions as Forestry Development Authority may impose.--Art. B6.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mécanismes de réclamation pour les parties non contractantes,Grievance mechanisms for non-contractual harms to non-contracting parties,,,,,Mécanismes de réclamation pour les parties non contractantes//Grievance mechanisms for non-contractual harms to non-contracting parties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Droits d'accès/utilisation à la zone de concession pour les parties non contractantes qui utilisaient la terre au préalable (y compris l'agriculture indépendante autorisée dans la zone de concession),Rights of non-contracting parties to access/use concession area (including permitted independent farming in concession area) ,"Alpha shall: a) allow the Government and public to use, free of charge, any roads constructed and/or maintained by Alpha, provided, however, that such use shall not unduly prejudice nor interfere with Alpha Logging & Processing's operations; b) allow the Government and public to have access over the contract area, provided that such access does not amount to encroachment, as provided for in Section B6.31, and does not unduly prejudice nor interfere with Alpha Logging & Processing's operations; c) Allow the Government and public to use communication lines developed by Alpha Logging & Processing within the contract area, subject to fair compensation, provided that such use shall not unduly prejudice nor interfere with Alpha Logging & Processing's operations; and d) allow the Government to construct roads, highways, railways, telegraph and telephone lines, and other transportation or communication facilities within the contract area, if they do not unreasonably interfere with Alpha Logging & Processing's activities and the Government provides fair compensation for damage caused, including property damage, lost profits, and other economic losses.",Art. B4.23,43 (bottom),,Droits d'accès/utilisation à la zone de concession pour les parties non contractantes qui utilisaient la terre au préalable (y compris l'agriculture indépendante autorisée dans la zone de concession)//Rights of non-contracting parties to access/use concession area (including permitted independent farming in concession area) ,"Alpha shall: a) allow the Government and public to use, free of charge, any roads constructed and/or maintained by Alpha, provided, however, that such use shall not unduly prejudice nor interfere with Alpha Logging & Processing's operations; b) allow the Government and public to have access over the contract area, provided that such access does not amount to encroachment, as provided for in Section B6.31, and does not unduly prejudice nor interfere with Alpha Logging & Processing's operations; c) Allow the Government and public to use communication lines developed by Alpha Logging & Processing within the contract area, subject to fair compensation, provided that such use shall not unduly prejudice nor interfere with Alpha Logging & Processing's operations; and d) allow the Government to construct roads, highways, railways, telegraph and telephone lines, and other transportation or communication facilities within the contract area, if they do not unreasonably interfere with Alpha Logging & Processing's activities and the Government provides fair compensation for damage caused, including property damage, lost profits, and other economic losses.--Art. B4.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre - [le nom de catégorie],Other - [Name of Category],,,,,Autre - [le nom de catégorie]//Other - [Name of Category],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Obligations financières du détenteur du titre,3. Developer's financial obligations,,,,,3. Obligations financières du détenteur du titre//3. Developer's financial obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxe minière / redevance,Mining tax / royalty tax,"Stumpage fees: Alpha Logging & Processing shall pay log stumpage fees to the Government in the amounts and at the times established by Part II of Forestry Development Authority Regulation 107-07. The parties will use the methods set out in Sections 26 and 27 of Forestry Development Authority Regulation 108-07, establishing a chain of custody system, to determine volumes and grades. Alpha Logging & Processing shall prevent logs from being processed or exported before Alpha Logging & Processinghas paid the log stumpage fees.",Art. B7.12,73 (bottom) - 75 (top),,Taxe minière / redevance//Mining tax / royalty tax,"Stumpage fees: Alpha Logging & Processing shall pay log stumpage fees to the Government in the amounts and at the times established by Part II of Forestry Development Authority Regulation 107-07. The parties will use the methods set out in Sections 26 and 27 of Forestry Development Authority Regulation 108-07, establishing a chain of custody system, to determine volumes and grades. Alpha Logging & Processing shall prevent logs from being processed or exported before Alpha Logging & Processinghas paid the log stumpage fees.--Art. B7.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impôt sur les bénéfices: taux,Income tax: rate,,,,,Impôt sur les bénéfices: taux//Income tax: rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impôt sur les bénéfices: exonération,Income tax: exemptions,,,,,Impôt sur les bénéfices: exonération//Income tax: exemptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
